left_id,right_id,true_delta_pp,quadratic-polynomial,piecewise-additive-interaction-grids
test-0011,test-0057,-6.6665663659755445,-6.451199758582696,-6.4294521373112605
test-0011,test-0060,-2.985483534929314,-2.85956913346802,-1.6967166632528106
test-0011,test-0062,-3.4745429435931627,-3.2105583518806604,-2.781770930123643
test-0011,test-0084,-9.311473279062058,-9.055101429897253,-8.01256983819587
test-0011,test-0087,-1.7868325089132564,-2.110974470150585,-1.3821032893654992
test-0011,test-0092,1.7194076222056394,1.6943051784482113,1.7364992037453335
test-0011,test-0096,5.632453620672645,5.546794005341222,5.716902436671101
test-0011,test-0103,-1.2727249921207275,-1.322632164358215,-1.1574398939454247
test-0011,test-0111,-1.415009227519925,-1.7453460618445455,-0.886121171846387
test-0011,test-0113,-2.3176407248317465,-2.182763744053288,-1.7756538174417782
test-0011,test-0123,-0.5977595592721566,-1.606378758705581,-0.16964747752523504
test-0011,test-0132,-8.654895057062628,-8.313675826742626,-8.356916326466994
test-0012,test-0017,0.84520557223077,0.8478481942641811,0.41369894780187777
test-0012,test-0025,-1.9474449408972083,-2.137987668783798,-2.1231361463007103
test-0012,test-0026,-6.12537083121042,-5.785098061583926,-6.171045846394588
test-0012,test-0028,3.241594640558691,3.864608680404942,2.7260954352364872
test-0012,test-0038,0.8011886528966682,1.4909212711492923,0.7418666380109843
test-0012,test-0052,-4.499425651280335,-5.4287126997104,-4.8314731207523725
test-0012,test-0053,-2.3841271967654687,-3.4203750112854765,-3.841817138980888
test-0012,test-0055,-14.498849317594528,-14.028127133848953,-14.783844383735104
test-0012,test-0061,-7.464838961065628,-7.302980362860903,-7.79915685194577
test-0012,test-0068,-6.975418952052484,-7.792920999697005,-7.244649190473745
test-0012,test-0071,-4.255908925171697,-4.283137632811961,-4.354158632663856
test-0012,test-0087,-3.2430847581004514,-3.3836767295020698,-3.6508404674940667
test-0012,test-0094,-8.272058490605632,-9.204581611022624,-9.207869067471302
test-0012,test-0098,-7.4359561021256875,-7.229000266472295,-7.737834484852664
test-0012,test-0101,-0.1686509627080263,-0.8201884522642184,-1.3254302510797888
test-0012,test-0106,2.8427025519902998,1.7630271035427847,2.3967824145167143
test-0012,test-0111,-2.876774673192493,-3.022802031827181,-3.166268581862218
